time,altitude,speed,mass
0.0,90.98,0.0,208107437.5
0.16,90.98,0.0,208107437.5
0.26,90.98,0.0,208107437.5
0.36,90.98,0.0,208107437.5
0.46,90.98,0.0,208107437.5
0.56,90.98,0.0,208107437.5
0.66,90.98,0.0,208107437.5
0.76,90.98,0.0,208107437.5
0.86,90.98,0.0,208107437.5
0.96,90.98,0.0,208107437.5
1.06,90.98,0.0,208107437.5
1.16,90.98,0.0,208107437.5
1.26,90.98,0.0,208107437.5
1.36,90.98,0.0,208107437.5
1.46,90.98,0.0,208107437.5
1.56,90.98,0.0,208107437.5
1.66,90.98,0.0,208107437.5
1.76,90.98,0.0,208107437.5
1.86,90.98,0.0,208107437.5
1.96,90.98,0.0,208107437.5
2.06,90.98,0.0,208107437.5
2.16,90.98,0.0,208107437.5
2.26,90.98,0.0,208107437.5
2.36,90.98,0.0,208107437.5
2.46,90.98,0.0,208107437.5
2.56,90.98,0.0,208107437.5
2.66,90.98,0.0,208107437.5
2.76,90.98,0.0,208107437.5
2.86,90.98,0.0,208107437.5
2.96,90.98,0.0,208107437.5
3.06,90.98,0.0,208107437.5
3.16,90.98,0.0,208107437.5
3.26,90.98,0.0,208107437.5
3.36,90.98,0.0,208107437.5
3.46,90.98,0.0,208107437.5
3.56,90.98,0.0,208107437.5
3.66,90.98,0.0,208107437.5
3.76,90.98,0.0,208107437.5
3.86,90.98,0.0,208107437.5
3.96,90.98,0.0,208107437.5
4.06,90.98,0.0,208107437.5
4.16,90.98,0.0,208107437.5
4.26,90.98,0.0,208107437.5
4.36,90.98,0.0,208107437.5
4.46,90.98,0.0,208107437.5
4.56,90.98,0.0,208107437.5
4.66,90.98,0.0,208107437.5
4.76,90.98,0.0,208107437.5
4.86,90.98,0.0,208107437.5
4.98,90.98,0.0,208107437.5
5.06,90.98,0.0,208107437.5
5.18,90.98,0.0,208107437.5
5.26,90.98,0.0,208107437.5
5.38,90.98,0.0,208107437.5
5.46,90.98,0.0,208107437.5
5.56,90.98,0.0,208107437.5
5.68,90.98,0.0,208107437.5
5.76,90.98,0.0,208107437.5
5.86,90.98,0.0,208107437.5
5.98,90.98,0.0,208107437.5
6.08,90.98,0.0,208107437.5
6.18,90.98,0.0,208107437.5
6.28,90.98,0.0,208107437.5
6.38,90.98,0.0,208107437.5
6.48,90.98,0.0,208107437.5
6.56,90.98,0.0,208107437.5
6.68,90.98,0.0,208107437.5
6.78,90.98,0.0,208107437.5
6.88,90.98,0.0,208107437.5
6.98,90.98,0.0,208107437.5
7.08,90.98,0.0,208107437.5
7.18,90.98,0.0,208107437.5
7.28,90.98,0.0,208107437.5
7.38,90.98,0.0,208107437.5
7.48,90.98,0.0,208107437.5
7.58,90.98,0.0,208107437.5
7.68,90.98,0.0,208107437.5
7.78,90.98,0.0,208107437.5
7.88,90.98,0.0,208107437.5
7.98,90.98,0.0,208107437.5
8.08,90.98,0.0,208107437.5
8.18,90.98,0.0,208107437.5
