time,altitude,apoapsis,periapsis,speed,mass,thrust,stage,phase
0.10,0.01,0.01,-598436.10,0.09,209201.66,2240000.00,0,PHASE1_ASCENT
1.10,0.63,0.69,-598435.41,1.06,208288.31,2240052.40,0,PHASE1_ASCENT
2.10,2.25,2.47,-598433.70,2.08,207374.93,2240203.80,0,PHASE1_ASCENT
3.10,4.90,5.41,-598431.00,3.16,206461.50,2240458.85,0,PHASE1_ASCENT
4.10,8.65,9.58,-598427.34,4.28,205548.01,2240822.19,0,PHASE1_ASCENT
5.10,13.54,15.04,-598422.72,5.47,204634.43,2241298.42,0,PHASE1_ASCENT
6.10,19.62,21.87,-598417.14,6.71,203720.73,2241892.12,0,PHASE1_ASCENT
7.10,26.93,30.11,-598410.58,8.01,202806.90,2242607.82,0,PHASE1_ASCENT
8.10,35.53,39.86,-598403.03,9.37,201892.89,2243449.97,0,PHASE1_ASCENT
9.10,45.46,51.17,-598394.49,10.80,200978.70,2244422.98,0,PHASE1_ASCENT
10.10,56.78,64.12,-598384.93,12.29,200064.28,2245531.16,0,PHASE1_ASCENT
11.10,69.54,78.78,-598374.34,13.84,199149.61,2246778.73,0,PHASE1_ASCENT
12.10,83.79,95.23,-598362.70,15.46,198234.67,2248169.78,0,PHASE1_ASCENT
13.10,99.58,113.54,-598349.99,17.15,197319.41,2249708.29,0,PHASE1_ASCENT
14.10,116.97,133.80,-598336.19,18.91,196403.80,2251398.08,0,PHASE1_ASCENT
15.10,136.00,156.08,-598321.27,20.74,195487.83,2253242.84,0,PHASE1_ASCENT
16.10,156.72,180.45,-598305.23,22.64,194571.45,2255246.05,0,PHASE1_ASCENT
17.10,179.20,207.01,-598288.02,24.61,193654.62,2257411.01,0,PHASE1_ASCENT
18.10,203.48,235.83,-598269.63,26.65,192737.32,2259740.82,0,PHASE1_ASCENT
19.10,229.62,266.99,-598250.03,28.76,191819.52,2262238.34,0,PHASE1_ASCENT
20.10,257.66,300.58,-598229.20,30.95,190901.16,2264906.20,0,PHASE1_ASCENT
21.10,287.67,336.69,-598207.11,33.21,189982.23,2267746.76,0,PHASE1_ASCENT
22.10,319.69,375.40,-598183.73,35.55,189062.69,2270762.11,0,PHASE1_ASCENT
23.10,353.77,416.79,-598159.03,37.96,188142.49,2273954.05,0,PHASE1_ASCENT
24.10,389.98,460.96,-598132.99,40.44,187221.60,2277324.07,0,PHASE1_ASCENT
25.10,428.35,507.98,-598105.58,43.00,186300.00,2280873.34,0,PHASE1_ASCENT
26.10,468.95,557.95,-598076.76,45.63,185377.63,2284602.71,0,PHASE1_ASCENT
27.10,511.83,610.95,-598046.51,48.34,184454.46,2288512.66,0,PHASE1_ASCENT
28.10,557.03,667.08,-598014.79,51.12,183530.46,2292603.33,0,PHASE1_ASCENT
29.10,604.61,726.41,-597981.58,53.98,182605.60,2296874.48,0,PHASE1_ASCENT
30.10,654.62,789.03,-597946.83,56.91,181679.83,2301325.51,0,PHASE1_ASCENT
31.10,707.10,855.04,-597910.53,59.92,180753.12,2305955.42,0,PHASE1_ASCENT
32.10,762.12,924.51,-597872.62,63.00,179825.43,2310762.83,0,PHASE1_ASCENT
33.10,819.71,997.55,-597833.09,66.15,178896.74,2315745.97,0,PHASE1_ASCENT
34.10,879.93,1074.22,-597791.89,69.37,177967.00,2320902.66,0,PHASE1_ASCENT
35.10,942.82,1154.63,-597748.99,72.67,177036.19,2326230.35,0,PHASE1_ASCENT
36.10,1008.43,1238.85,-597704.35,76.04,176104.27,2331726.06,0,PHASE1_ASCENT
37.10,1076.81,1326.97,-597657.93,79.49,175171.21,2337386.45,0,PHASE1_ASCENT
38.10,1148.01,1419.07,-597609.70,83.00,174236.98,2343207.77,0,PHASE1_ASCENT
39.10,1222.07,1515.25,-597559.60,86.59,173301.55,2349185.92,0,PHASE1_ASCENT
40.10,1299.04,1615.59,-597507.60,90.25,172364.90,2355316.41,0,PHASE1_ASCENT
41.10,1378.96,1720.17,-597453.65,93.97,171426.99,2361594.39,0,PHASE1_ASCENT
42.10,1461.88,1829.08,-597397.70,97.77,170487.80,2368014.66,0,PHASE1_ASCENT
43.10,1547.84,1942.41,-597339.72,101.64,169547.31,2374571.70,0,PHASE1_ASCENT
44.10,1636.88,2060.24,-597279.64,105.58,168605.49,2381259.65,0,PHASE1_ASCENT
45.10,1729.06,2182.65,-597217.40,109.59,167662.32,2388072.38,0,PHASE1_ASCENT
46.10,1824.40,2309.75,-597152.97,113.67,166717.78,2395003.45,0,PHASE1_ASCENT
47.10,1922.97,2441.61,-597086.27,117.82,165771.85,2402046.16,0,PHASE1_ASCENT
48.10,2024.78,2577.55,-597017.68,121.97,164829.25,2348963.49,0,PHASE1_ASCENT
49.10,2129.63,2715.03,-596948.51,125.92,163904.22,2356012.00,0,PHASE1_ASCENT
50.10,2237.48,2857.00,-596876.94,129.94,162977.78,2363126.05,0,PHASE1_ASCENT
51.10,2348.38,3003.55,-596802.89,134.03,162049.95,2370299.85,0,PHASE1_ASCENT
52.10,2462.36,3154.79,-596726.31,138.20,161120.71,2377527.43,0,PHASE1_ASCENT
53.10,2579.47,3310.80,-596647.10,142.45,160190.05,2384802.73,0,PHASE1_ASCENT
54.10,2699.76,3471.71,-596565.21,146.77,159257.97,2392119.54,0,PHASE1_ASCENT
55.10,2823.29,3637.60,-596480.53,151.17,158324.47,2399471.56,0,PHASE1_ASCENT
56.10,2950.08,3808.60,-596392.97,155.65,157389.55,2406852.41,0,PHASE1_ASCENT
57.10,3080.20,3984.82,-596302.46,160.21,156453.20,2414255.63,0,PHASE1_ASCENT
58.10,3213.70,4166.37,-596208.87,164.85,155515.43,2421674.73,0,PHASE1_ASCENT
59.10,3350.62,4353.37,-596112.09,169.57,154576.24,2429103.18,0,PHASE1_ASCENT
60.10,3491.01,4545.95,-596012.03,174.37,153635.62,2436534.44,0,PHASE1_ASCENT
61.10,3634.92,4744.25,-595908.54,179.26,152693.60,2443961.97,0,PHASE1_ASCENT
62.10,3782.41,4948.40,-595801.50,184.23,151750.16,2451379.23,0,PHASE1_ASCENT
63.10,3933.53,5158.54,-595690.76,189.29,150805.33,2458779.75,0,PHASE1_ASCENT
64.10,4088.33,5374.82,-595576.18,194.45,149859.10,2466157.08,0,PHASE1_ASCENT
65.10,4246.88,5597.40,-595457.60,199.69,148911.49,2473504.84,0,PHASE1_ASCENT
66.10,4409.22,5826.44,-595334.84,205.03,147962.51,2480816.73,0,PHASE1_ASCENT
67.10,4575.41,6062.10,-595207.74,210.47,147012.16,2488086.55,0,PHASE1_ASCENT
68.10,4745.53,6304.58,-595076.09,216.01,146060.46,2495308.19,0,PHASE1_ASCENT
69.10,4919.62,6554.06,-594939.70,221.65,145107.43,2502475.66,0,PHASE1_ASCENT
70.10,5097.75,6810.73,-594798.34,227.40,144153.08,2509583.11,0,PHASE1_ASCENT
71.10,5279.99,7074.80,-594651.80,233.26,143197.42,2516624.82,0,PHASE1_ASCENT
72.10,5466.40,7346.49,-594499.83,239.23,142240.47,2523595.22,0,PHASE1_ASCENT
73.10,5657.05,7626.02,-594342.16,245.32,141282.25,2530488.92,0,PHASE1_ASCENT
74.10,5852.03,7913.64,-594178.54,251.53,140322.78,2537300.67,0,PHASE1_ASCENT
75.10,6051.39,8209.60,-594008.66,257.86,139362.07,2544025.43,0,PHASE1_ASCENT
76.10,6255.21,8514.16,-593832.22,264.32,138400.15,2550658.32,0,PHASE1_ASCENT
77.10,6463.58,8827.60,-593648.90,270.92,137437.03,2557194.67,0,PHASE1_ASCENT
78.10,6676.58,9150.22,-593458.34,277.65,136472.74,2563630.03,0,PHASE1_ASCENT
79.10,6894.28,9482.32,-593260.19,284.52,135507.30,2569960.12,0,PHASE1_ASCENT
80.10,7116.78,9824.24,-593054.06,291.54,134540.72,2576180.90,0,PHASE1_ASCENT
81.10,7344.17,10176.30,-592839.52,298.71,133573.04,2582288.55,0,PHASE1_ASCENT
82.10,7576.53,10538.89,-592616.16,306.04,132604.28,2588279.47,0,PHASE1_ASCENT
83.10,7813.97,10912.36,-592383.50,313.53,131634.46,2594150.29,0,PHASE1_ASCENT
84.10,8056.57,11297.14,-592141.05,321.18,130663.60,2599897.87,0,PHASE1_ASCENT
85.10,8304.45,11693.63,-591888.30,329.02,129691.73,2605519.32,0,PHASE1_ASCENT
86.10,8557.71,12102.28,-591624.69,337.03,128718.88,2611011.98,0,PHASE1_ASCENT
87.10,8816.45,12523.57,-591349.64,345.22,127745.06,2616373.43,0,PHASE1_ASCENT
88.10,9080.80,12957.99,-591062.54,353.61,126770.31,2621601.49,0,PHASE1_ASCENT
89.10,9350.85,13406.06,-590762.73,362.20,125794.65,2626694.24,0,PHASE1_ASCENT
90.10,9626.74,13868.33,-590449.51,370.99,124818.11,2631649.99,0,PHASE1_ASCENT
91.10,9908.58,14345.38,-590122.15,379.99,123840.71,2636467.33,0,PHASE1_ASCENT
92.10,10196.51,14837.83,-589779.87,389.21,122862.48,2641145.04,0,PHASE1_ASCENT
93.10,10490.64,15346.32,-589421.85,398.66,121883.44,2645682.21,0,PHASE1_ASCENT
94.10,10791.13,15871.53,-589047.21,408.34,120903.63,2650078.12,0,PHASE1_ASCENT
95.10,11098.09,16414.18,-588655.02,418.26,119923.06,2654332.34,0,PHASE1_ASCENT
96.10,11411.69,16975.05,-588244.30,428.43,118941.76,2658444.66,0,PHASE1_ASCENT
97.10,11732.06,17554.92,-587814.01,438.85,117959.76,2662415.10,0,PHASE1_ASCENT
98.10,12059.35,18154.65,-587363.05,449.54,116977.09,2666243.94,0,PHASE1_ASCENT
99.10,12393.73,18775.13,-586890.25,460.50,115993.76,2669931.69,0,PHASE1_ASCENT
100.10,12735.34,19417.31,-586394.37,471.75,115009.81,2673479.08,0,PHASE1_ASCENT
101.10,13084.35,20082.20,-585874.11,483.28,114025.27,2676887.06,0,PHASE1_ASCENT
102.10,13440.93,20770.86,-585328.08,495.10,113040.14,2680156.84,0,PHASE1_ASCENT
103.10,13805.26,21484.40,-584754.80,507.23,112054.47,2683289.79,0,PHASE1_ASCENT
104.10,14177.51,22224.01,-584152.72,519.68,111068.27,2686287.54,0,PHASE1_ASCENT
105.10,14557.85,22990.95,-583520.20,532.45,110081.56,2689151.89,0,PHASE1_ASCENT
